# Zeit [h], Last Wintertag [W], Last Sommertag [W]
0.25,67.6,86.3
0.5,60.8,76.9
0.75,54.9,68.8
1.0,49.9,62.4
1.25,46.2,58.0
1.5,43.6,55.3
1.75,41.9,53.6
2.0,40.8,52.4
2.25,40.1,51.3
2.5,39.6,50.3
2.75,39.4,49.2
3.0,39.1,48.3
3.25,38.8,47.5
3.5,38.6,46.9
3.75,38.3,46.5
4.0,38.3,46.6
4.25,38.4,47.1
4.5,38.8,48.0
4.75,39.3,49.3
5.0,40.0,50.8
5.25,40.9,52.7
5.5,43.1,55.6
5.75,47.7,60.5
6.0,55.8,68.2
6.25,68.0,79.2
6.5,82.8,92.0
6.75,98.0,104.7
7.0,111.5,115.7
7.25,121.6,123.5
7.5,128.5,128.6
7.75,132.7,132.0
8.0,134.8,134.8
8.25,135.4,137.8
8.5,134.8,140.7
8.75,133.1,143.2
9.0,130.7,144.8
9.25,127.7,145.3
9.5,124.6,144.9
9.75,121.5,143.8
10.0,119.0,142.3
10.25,117.3,140.8
10.5,116.2,139.5
10.75,115.7,138.5
11.0,115.7,138.2
11.25,116.1,138.6
11.5,117.0,140.1
11.75,118.7,142.6
12.0,121.5,146.5
12.25,125.4,151.5
12.5,129.6,156.7
12.75,133.0,160.7
13.0,134.8,162.3
13.25,134.2,160.5
13.5,131.7,156.1
13.75,128.0,150.2
14.0,124.0,144.0
14.25,120.2,138.4
14.5,116.8,133.6
14.75,113.7,129.4
15.0,110.7,125.7
15.25,107.9,122.4
15.5,105.5,119.6
15.75,103.5,117.4
16.0,102.4,115.7
16.25,102.2,114.6
16.5,103.2,114.2
16.75,105.6,114.6
17.0,109.9,115.7
17.25,116.0,117.6
17.5,123.7,120.3
17.75,132.6,123.9
18.0,142.3,128.2
18.25,152.4,133.2
18.5,162.2,138.9
18.75,171.2,145.1
19.0,178.9,151.5
19.25,184.7,157.9
19.5,188.2,163.8
19.75,188.9,168.3
20.0,186.4,170.6
20.25,180.7,170.4
20.5,172.7,168.3
20.75,163.9,165.3
21.0,155.6,162.3
21.25,148.9,160.1
21.5,143.4,158.4
21.75,138.4,156.8
22.0,133.2,154.8
22.25,127.2,151.9
22.5,120.5,147.9
22.75,113.3,142.5
23.0,105.7,135.7
23.25,98.0,127.2
23.5,90.2,117.5
23.75,82.5,107.1
24.0,74.9,96.5
