# Deformation [%], Spannung [MPa]
0,0.000
1,3.084
2,5.874
3,7.709
4,8.811
5,9.471
6,9.985
7,10.426
8,10.646
9,11.013
10,11.160
11,11.527
12,11.747
13,11.968
14,12.188
15,12.482
16,12.775
17,12.922
18,13.216
19,13.436
20,13.583
21,13.730
22,13.950
23,14.244
24,14.391
25,14.758
26,15.051
27,15.419
28,15.786
29,16.153
30,16.373
31,16.814
32,17.181
33,17.548
34,17.841
35,18.355
36,18.796
37,19.310
38,19.750
39,20.338
40,20.852
41,21.366
42,22.100
43,22.614
44,23.348
45,24.009
46,24.890
47,25.698
48,26.652
49,27.533
50,28.488
51,29.442
52,30.396
53,31.645
54,33.040
55,34.288
56,35.903
57,37.592
58,39.501
59,41.483
60,43.392
61,45.815
62,48.825
63,52.276

