# Deformation [%], Spannung [MPa]
0,0.000
1,2.717
2,4.185
3,5.066
4,5.580
5,6.094
6,6.608
7,6.828
8,7.048
9,7.269
10,7.489
11,7.562
12,7.636
13,7.783
14,7.930
15,8.076
16,8.297
17,8.370
18,8.297
19,8.150
20,8.150
21,8.223
22,8.370
23,8.517
24,8.811
25,8.737
26,8.811
27,8.737
28,8.884
29,9.104
30,9.398
31,9.618
32,9.838
33,10.132
34,10.206
35,10.352
36,10.426
37,10.426
38,10.573
39,10.646
40,10.866
41,11.160
42,11.380
43,11.527
44,11.601
45,11.894
46,12.041
47,12.261
48,12.482
49,12.775
50,12.922
51,13.363
52,13.656
53,13.950
54,14.244
55,14.537
56,14.831
57,15.272
58,15.712
59,16.079
60,16.446
61,17.034
62,17.621
63,18.355
64,19.310
65,20.411
66,21.733
67,22.907
68,24.302
69,25.698
70,27.533
71,29.442
72,31.865
73,34.802
74,38.179
75,42.070
76,46.549
77,51.836

