# Deformation [%], Spannung [MPa]
0,0.000
1,2.496
2,3.744
3,3.598
4,3.377
5,3.377
6,3.524
7,3.671
8,3.818
9,3.891
10,3.891
11,3.891
12,3.965
13,4.038
14,4.185
15,4.405
16,4.626
17,4.699
18,4.772
19,4.332
20,4.479
21,4.552
22,4.699
23,4.846
24,4.919
25,4.993
26,4.993
27,4.846
28,4.626
29,4.626
30,4.772
31,4.919
32,5.066
33,5.360
34,5.507
35,5.653
36,5.653
37,5.727
38,5.653
39,5.653
40,5.874
41,6.241
42,6.535
43,6.608
44,6.681
45,6.828
46,6.902
47,6.975
48,7.048
49,7.048
50,7.122
51,7.122
52,7.269
53,7.416
54,7.636
55,7.856
56,8.076
57,8.223
58,8.443
59,8.517
60,8.590
61,8.737
62,8.957
63,9.251
64,9.618
65,9.912
66,10.426
67,10.793
68,11.380
69,11.968
70,12.482
71,13.289
72,14.170
73,15.125
74,16.226
75,17.548
76,19.236
77,21.072
78,23.348
79,25.918
80,29.295

